epoch,combined_denoising_loss,loss,psnr_metric,ssim_metric,val_combined_denoising_loss,val_loss,val_psnr_metric,val_ssim_metric,learning_rate
0,0.0101,0.0094,38.1121,0.9878,0.0099,0.0092,38.2528,0.9880,1.0000e-04
1,0.0100,0.0093,38.1666,0.9880,0.0098,0.0092,38.2738,0.9882,1.0000e-04
2,0.0099,0.0093,38.2155,0.9881,0.0101,0.0094,38.0410,0.9881,1.0000e-04
3,0.0098,0.0092,38.2736,0.9882,0.0100,0.0094,38.1338,0.9882,1.0000e-04
4,0.0098,0.0091,38.3253,0.9884,0.0097,0.0091,38.3889,0.9886,1.0000e-04
5,0.0097,0.0091,38.3762,0.9885,0.0097,0.0091,38.3751,0.9884,1.0000e-04
6,0.0096,0.0090,38.4378,0.9887,0.0094,0.0088,38.5611,0.9888,1.0000e-04
7,0.0095,0.0089,38.4895,0.9888,0.0096,0.0090,38.4054,0.9886,1.0000e-04
8,0.0095,0.0089,38.5389,0.9889,0.0095,0.0089,38.4874,0.9888,1.0000e-04
9,0.0094,0.0088,38.5880,0.9891,0.0094,0.0088,38.5971,0.9890,1.0000e-04
10,0.0093,0.0088,38.6298,0.9892,0.0093,0.0087,38.6649,0.9892,1.0000e-04
11,0.0093,0.0087,38.6711,0.9893,0.0091,0.0086,38.8088,0.9895,1.0000e-04
12,0.0092,0.0087,38.7091,0.9894,0.0092,0.0087,38.6560,0.9894,1.0000e-04
13,0.0092,0.0087,38.7447,0.9895,0.0091,0.0086,38.8016,0.9896,1.0000e-04
14,0.0091,0.0086,38.7832,0.9895,0.0090,0.0085,38.8472,0.9897,1.0000e-04
15,0.0091,0.0086,38.8141,0.9896,0.0090,0.0086,38.8159,0.9898,1.0000e-04
16,0.0090,0.0085,38.8430,0.9897,0.0090,0.0085,38.8634,0.9898,1.0000e-04
17,0.0090,0.0085,38.8757,0.9898,0.0089,0.0085,38.9170,0.9899,1.0000e-04
18,0.0089,0.0085,38.9052,0.9898,0.0088,0.0084,38.9941,0.9901,1.0000e-04
19,0.0089,0.0084,38.9312,0.9899,0.0089,0.0084,38.9819,0.9898,1.0000e-04
20,0.0089,0.0084,38.9604,0.9900,0.0088,0.0083,39.0475,0.9901,1.0000e-04
21,0.0088,0.0084,38.9880,0.9900,0.0088,0.0083,39.0146,0.9900,1.0000e-04
22,0.0088,0.0083,39.0160,0.9901,0.0089,0.0084,38.9438,0.9900,1.0000e-04
23,0.0088,0.0083,39.0401,0.9901,0.0087,0.0082,39.1286,0.9903,1.0000e-04
24,0.0087,0.0083,39.0596,0.9902,0.0088,0.0083,39.0091,0.9901,1.0000e-04
25,0.0087,0.0083,39.0874,0.9902,0.0088,0.0084,38.9164,0.9903,1.0000e-04
26,0.0087,0.0082,39.1121,0.9903,0.0087,0.0082,39.1458,0.9903,1.0000e-04
27,0.0087,0.0082,39.1352,0.9903,0.0085,0.0081,39.2373,0.9905,1.0000e-04
28,0.0086,0.0082,39.1583,0.9904,0.0086,0.0082,39.0910,0.9904,1.0000e-04
29,0.0086,0.0082,39.1773,0.9904,0.0087,0.0082,39.1283,0.9903,1.0000e-04
30,0.0086,0.0082,39.1951,0.9904,0.0086,0.0081,39.2317,0.9904,1.0000e-04
31,0.0086,0.0081,39.2154,0.9905,0.0088,0.0083,39.0073,0.9901,1.0000e-04
32,0.0085,0.0081,39.2331,0.9905,0.0089,0.0083,39.0619,0.9895,1.0000e-04
33,0.0085,0.0081,39.2598,0.9906,0.0085,0.0081,39.2565,0.9906,1.0000e-04
34,0.0085,0.0081,39.2783,0.9906,0.0085,0.0081,39.3117,0.9905,1.0000e-04
35,0.0085,0.0081,39.2964,0.9906,0.0083,0.0079,39.3784,0.9908,1.0000e-04
36,0.0084,0.0080,39.3167,0.9907,0.0085,0.0082,39.2312,0.9907,1.0000e-04
37,0.0084,0.0080,39.3342,0.9907,0.0084,0.0080,39.3464,0.9908,1.0000e-04
38,0.0084,0.0080,39.3516,0.9907,0.0084,0.0080,39.3722,0.9907,1.0000e-04
39,0.0084,0.0080,39.3732,0.9908,0.0084,0.0080,39.3695,0.9908,1.0000e-04
40,0.0084,0.0080,39.3927,0.9908,0.0082,0.0079,39.4894,0.9910,1.0000e-04
41,0.0083,0.0080,39.4074,0.9908,0.0083,0.0079,39.4478,0.9907,1.0000e-04
42,0.0083,0.0079,39.4269,0.9909,0.0082,0.0078,39.5664,0.9910,1.0000e-04
43,0.0083,0.0079,39.4479,0.9909,0.0082,0.0078,39.5653,0.9910,1.0000e-04
44,0.0083,0.0079,39.4597,0.9909,0.0082,0.0078,39.5180,0.9910,1.0000e-04
45,0.0083,0.0079,39.4778,0.9910,0.0083,0.0079,39.4550,0.9910,1.0000e-04
46,0.0082,0.0079,39.4971,0.9910,0.0082,0.0078,39.5399,0.9911,1.0000e-04
47,0.0082,0.0079,39.5145,0.9910,0.0081,0.0078,39.6119,0.9912,1.0000e-04
48,0.0082,0.0078,39.5317,0.9911,0.0081,0.0077,39.6047,0.9911,1.0000e-04
49,0.0082,0.0078,39.5468,0.9911,0.0083,0.0080,39.4075,0.9910,1.0000e-04
50,0.0082,0.0078,39.5607,0.9911,0.0081,0.0078,39.5978,0.9911,1.0000e-04
51,0.0082,0.0078,39.5686,0.9911,0.0081,0.0078,39.6329,0.9912,1.0000e-04
52,0.0081,0.0078,39.5845,0.9912,0.0080,0.0077,39.6592,0.9913,1.0000e-04
53,0.0081,0.0078,39.6006,0.9912,0.0080,0.0077,39.6923,0.9913,1.0000e-04
54,0.0081,0.0078,39.6139,0.9912,0.0080,0.0077,39.6514,0.9914,1.0000e-04
55,0.0081,0.0077,39.6242,0.9912,0.0080,0.0077,39.6993,0.9913,1.0000e-04
56,0.0081,0.0077,39.6401,0.9912,0.0080,0.0077,39.6999,0.9914,1.0000e-04
57,0.0081,0.0077,39.6500,0.9913,0.0083,0.0079,39.4514,0.9910,1.0000e-04
